Author,Title,Categories,Published date,Publisher,ISBN
"Akademia, Magyar Tudomanyos",A Magyar Helyesiras Szabalyai,Grammar,2015,Akademiai Kiado,9789630596312
American Psychological Association,Psychodynamic Diagnostic Manual (PDM),Medical,2006,Interdisciplinary Council on,0976775824
"Ashby, William Ross",Design for a Brain; The Origin of Adaptive Behavior - Scholar's Choice Edition,Cognitive Sciences,15/02/2015,Scholar's Choice,9781296026226
"Aurelius, Marcus",Meditations (Penguin Classics),Philosophy,27/04/2006,Penguin Classics,9780140449334
"Baars, Bernard J.",Essential Sources in the Scientific Study of Consciousness,Medical,2003,MIT Press,9780262523028
"Baars, Bernard J.",In the Theater of Consciousness: The Workspace of the Mind,Neuroscience,08/11/2001,"Oxford University Press, USA",9780195147032
"Barcsay, Jenö",Anatomy for the Artist,"Anatomy, Artistic",1999,Black Cat,9780316875233
"Benjamin, Walter","Reflections: Essays, Aphorisms, Autobiographical Writings",Philosophy,31/05/1995,Random House USA Inc,9780805208023
"Bourgery, Jean Marc",Atlas of Human Anatomy,Human anatomy,2012,TASCHEN Gmbh,9783836531061
"Burns, Stanley",Mornings Work,Medical,01/1997,Twin Palms Publishers,0944092454
"Butler, Judith",Bodies that Matter,Philosophy,2011,Taylor & Francis US,978-0415610155
"Campbell, Neil A.",Biology (Benjamin/Cummings Series in the Life Sciences),Biology,28/02/1993,"Benjamin-Cummings Publishing Company, Subs of Addison Wesley Longman, Inc",9780805318807
"Chaucer, Geoffrey",The Canterbury Tales,Christian pilgrims and pilgrimages,1992,Cresset Press,9780091772239
"Chomsky, Noam",On Anarchism,Anarchism,2014,Penguin,9780241969601
"Christensen, Paulina",German For Dummies,Language,11/01/2011,For Dummies,9780470901014
"Eade, James",Chess For Dummies,Games,24/10/1996,For Dummies,9780764550034
"Elmes, David G.",Research Methods in Psychology,Psychology,1989,West Publishing Co,9780314469625
"Erdey-Grúz, Tibor",Filozófiai tallózás a természet tudományokban,Philosophy,1965,Kossuth Könyvkiadó,
"Eysenck, Michael W.",Psychology,Psychology,1998,Addison-Wesley Longman Limited,9780582298842
"Fairbairn, Gavin",Contemplating Suicide,Philosophy,1995,Psychology Press,9780415106061
"Fallon, James",The Psychopath Inside: A Neuroscientist's Personal Journey into the Dark Side of the Brain,Psychopathology,31/10/2013,Current,9781591846000
"Firth, Lisa",Vegetarian Diets: 214 (Issues),,12/09/2011,Independence Educational Publishers,9781861685940
"Foucault, Michel",Archaeology of Knowledge,Philosophy,2002,Presbyterian Publishing Corp,9780415287531
"Foucault, Michel",Chomsky vs Foucault: A Debate on Human Nature,Philosophy,09/2006,The New Press,9781595581341
"Foundation, Ciba",Child Sexual Abuse Within the Family,Child sexual abuse,1984,Other,9780415042925
"Frowe, Helen",The Ethics of War and Peace: An Introduction,Ethics,09/06/2011,Routledge,9780415492409
"Fukuyama, Francis",The Great Disruption,Philosophy,15/06/2017,Profile Books,9781861972170
"Gleick, James",Chaos,Chaos,1997,Random House,9780749386061
"Gove, Philip Babcock","Webster's Third New International Dictionary of the English Language, Unabridged","Dictionaries, Polyglot",1981,Merriam-Webster,9780877792017
"Gower, Barry",Scientific Method,Philosophy,1997,Psychology Press,9780415122825
"Haig, Brian D.",Investigating the Psychological World,Psychology,27/03/2014,MIT Press,9780262027366
"Haraway, Donna Jeanne","Simians, Cyborgs and Women",Social Science,1991,Free Assn Books,9781853431395
"Hawking, Stephen W",A Brief History of Time,Physics,1988,Bantam Press,9780593015186
Hodgins,The Neurobiological Basis of Violence: Science and Rehabilitation,Neuroscience,12/02/2009,OUP Oxford,9780199543533
"Jackson, Andrew R. W.",Forensic Science,Crime scenes,2011,Pearson Prentice Hall,9780273738404
"Juhász, József",Magyar értelmező kéziszótár,Dictionaries,2011,Akadémiai Kiadó,9789630587372
"János, Huszár",Új kis magyar nyelvtan : (a középiskolások számára),Grammar,2008,Amtak Bt.,9789638709783
"Járó, Katalin",A játszmák világa,Psychology,2011,Háttér kiadó,9789639365988
"Karush, William",Webster's New World Dictionary of Mathematics,Dictionaries,19/05/1989,Prentice-Hall,9780131926677
"Klein, Naomi",The Shock Doctrine,Capitalism,2008,Penguin Books,9780141024530
"Konnikova, Maria",Mastermind,Psychology,2014,Canongate Books,9780857867278
"Kurbegov, Eliane","French All-in-One For Dummies, with CD",Foreign Language Study,09/10/2012,John Wiley & Sons,9781118228159
"Lacan, Jacques",Ecrits,Psychology,2006,W. W. Norton & Company,9780393329254
Liem,"Handbook of European Homicide Research: Patterns, Explanations, and Country Studies",,18/09/2012,Springer,9781461458661
"Lock, Andrew","Action, Gesture and Symbol: Emergence of Language",Psychology,11/1978,Academic Press Inc,0124540503
"M.D, Donald W. Black,","Introductory Textbook of Psychiatry, Sxith Edition",Medical,25/04/2014,American Psychiatric Pub,9781585624706
"Mackay, Robin",Collapse: Philosophical Research and Development 2012: Numerical Materialism Volume I,,06/06/2006,Urbanomic,9780955308758
"Macnaughton, Robin Downie ; Jane",Clinical Judgement : Evidence in Practice (Oxford Medical Publications),Medical,23/03/2000,Oxford University Press UK,9780192632166
"Martin, Elizabeth",A Dictionary of Biology,Reference,03/06/2015,"Oxford University Press, USA",9780198714378
"Martin, G. Neil",Psychology,Psychology,2013,Pearson Education,9780273755524
"Mattson, Mark P",Neurobiology of Aggression,Medical,24/03/2003,Humana Press,9781588291882
"McCarthy, Natasha",Engineering: A Beginner's Guide (Beginner's Guides),Engineering,01/12/2012,Oneworld Publications,9781851686629
McMurren,"Personality, Personality Disorder and Violence - An Evidence-based Approach (Wiley Series in Forensic Clinical Psychology)",Psychology,10/04/2009,Wiley,9780470059494
Merriam-Webster,Merriam Webster's Concise Dictionary of English Usage (Dictionary) (Dictionary),Dictionaries,01/06/2002,"Merriam Webster,U.S.",9780877796336
"Metzinger, Thomas",Being No One,Medical,2004,MIT Press (MA),9780262633086
"Metzinger, Thomas",Conscious Experience,Philosophy,1995,Imprint Academic,0907845053
"Metzinger, Thomas",Neural Correlates of Consciousness,Medical,2000,MIT Press,9780262133708
"Metzinger, Thomas",The Ego Tunnel: The Science of the Mind and the Myth of the Self,Philosophy,27/07/2010,Basic Books,9780465020690
"Minois, Georges",Histoire du mal de vivre : De la mélancolie à la dépression,Cultural Research,05/09/2003,Editions de La Martinière,978-2846750769
"Miyamoto, Musashi",The Book of Five Rings,Business & Economics,2012,Rediscovered Books,9781590309841
"Mukherji, Nirmalangshu",The Architecture of Language,Language Arts & Disciplines,17/08/2006,OUP India,9780195684469
"Nietzsche, Friedrich",On the Genealogy of Morals,Philosophy,02/01/2014,Penguin Classics,9780141195377
"Nietzsche, Friedrich",Beyond Good and Evil,Philosophy,14/08/2008,Oxford Paperbacks,9780199537075
"Pentz, Mike",Handling Experimental Data,Computers,1988,Open University Press,0335158242
"Pethő, Bertalan",A filozófiai híg mosléka,Philosophy,2001,Platon,
"Pléh, Csaba",A tanulás és gondolkodás keretei,Academic,2015,,9789632798646
"Prior, A. N.",Formal Logic,Philosophy,1962,Oxford University Press,
"Sapsolsky, Robert","Biology and Human Behavior: The Neurological Origins of Individuality, Part 2 and Part 2",Neuroscience,,The Teaching Company,9781598030815
"Schimel, Joshua",Writing Science: How to Write Papers That Get Cited and Proposals That Get Funded,Academic,29/11/2011,"Oxford University Press, U.S.A.",9780199760244
"Simblet, Sarah",Anatomy for the Artist,"Anatomy, Artistic",2001,"Penguin Books, Limited (UK)",9780751334418
"Smith, Adam",An Inquiry into the Nature and Causes of the Wealth of Nations: v. 1 (Inquiry Into the Nature & Causes of the Wealth of Nations) (Glasgow Edition of the Works and Correspondence of Adam Smith),Economics,01/01/1994,Liberty Fund Inc,9780865970069
"Smith, David Livingston",Approaching Psychoanalysis,Psychology,1999,Karnac Books,9781855751576
"Spivey, Nigel Jonathan",Enduring Creation,Art,2001,Univ of California Press,9780520230224
Sun-tzu,The Art of War,Philosophy,29/05/2008,Penguin UK,9780140455526
"Treadwell, James",Criminology (SAGE Course Companions series),Criminology,14/03/2006,SAGE Publications Ltd,9781412911344
"Ullman, James P. Wade Harlan K.",Shock and Awe — Achieving Rapid Dominance,Warfare,03/11/2006,Hard Press,9781406940060
"Vachss, Alice S.",Sex Crimes,Criminology,06/1993,Random House Inc (T),9780679424352
"Venes, Donald",Taber's Cyclopedic Medical Dictionary,Medical,2013,F A Davis Company,9780803629776
"Wevell, Anne",Reader's Digest word power dictionary,English language,2005,,9789622582361
"Wittgenstein, Ludwig",Philosophical Investigations,Analysis (Philosophy),1968,Wiley-Blackwell,0631146709
"Wittgenstein, Ludwig",Tractatus Logico-Philosophicus,Philosophy,01/1975,Routledge & Kegan Paul PLC,0710079230
"Zizek, Slavoj",The Parallax View,Philosophy,2009,MIT Press (MA),9780262512688
"Žižek, Slavoj",On Belief,Religion,2001,Psychology Press,9780415255325
"Žižek, Slavoj",The Fragile Absolute,Philosophy,01/2009,Verso Books,978-1844673025
Charles Rycroft,Critical Dictionary of Psychoanalysis,Psychoanalysis,1995,Penguin Books,
"Ray Bull, Claire Cooke, Ruth Hatcher, Jessica Woodhams, Charlotte Bilby and Tim Grant",Criminal Psychology,Criminology,2009,Oneworld Publications,978-1851684779
